date,region,category,units,unit_price
2026-01-01,amer,support,9,335.25
2026-01-01,amer,training,38,67.2
2026-01-01,emea,training,17,494.47
2026-01-02,amer,training,35,746.0
2026-01-02,apac,training,10,213.71
2026-01-02,emea,support,25,662.17
2026-01-03,emea,support,3,274.77
2026-01-03,emea,services,31,533.18
2026-01-04,amer,training,26,650.61
2026-01-04,amer,training,9,783.34
2026-01-04,emea,hardware,9,445.24
2026-01-04,apac,training,20,380.32
2026-01-04,apac,support,23,479.78
2026-01-05,amer,software,22,609.99
2026-01-05,emea,services,39,600.56
2026-01-05,emea,services,35,806.08
2026-01-05,amer,hardware,14,566.84
2026-01-05,amer,services,19,119.06
2026-01-06,amer,training,6,312.46
2026-01-06,emea,training,10,27.22
2026-01-06,apac,training,8,48.41
2026-01-06,amer,hardware,25,642.09
2026-01-06,apac,support,18,454.52
2026-01-07,apac,hardware,5,104.7
2026-01-07,amer,hardware,13,864.84
2026-01-08,amer,services,10,616.81
2026-01-08,apac,services,24,853.6
2026-01-08,apac,training,30,775.44
2026-01-08,apac,support,36,99.82
2026-01-09,apac,training,16,834.03
2026-01-09,apac,services,34,276.29
2026-01-09,apac,hardware,27,878.95
2026-01-09,apac,hardware,25,551.71
2026-01-09,amer,software,4,567.33
2026-01-09,apac,training,23,607.61
2026-01-10,amer,services,32,29.03
2026-01-10,emea,hardware,24,230.61
2026-01-10,apac,services,38,539.08
2026-01-10,emea,services,12,284.81
2026-01-11,amer,services,20,702.72
2026-01-11,emea,hardware,37,611.53
2026-01-11,emea,services,33,205.44
2026-01-11,apac,software,21,174.5
2026-01-12,amer,hardware,7,538.44
2026-01-12,apac,software,29,722.5
2026-01-12,emea,hardware,22,662.89
2026-01-12,emea,support,29,247.76
2026-01-12,emea,hardware,34,852.65
2026-01-13,amer,software,18,308.97
2026-01-13,amer,hardware,40,313.52
2026-01-13,emea,training,19,465.95
2026-01-13,apac,training,23,567.89
2026-01-14,apac,support,27,40.8
2026-01-14,apac,software,13,13.6
2026-01-14,amer,support,28,501.59
2026-01-14,amer,software,3,665.93
2026-01-15,apac,support,22,792.88
2026-01-15,emea,support,19,115.16
2026-01-15,emea,hardware,3,805.13
2026-01-15,amer,support,13,798.93
2026-01-15,apac,support,4,21.07
2026-01-15,amer,hardware,11,452.56
2026-01-16,amer,hardware,34,482.33
2026-01-16,emea,support,8,310.06
2026-01-16,apac,support,31,724.07
2026-01-17,apac,software,13,117.12
2026-01-17,emea,software,16,706.57
2026-01-18,emea,training,37,768.98
2026-01-18,emea,services,16,245.99
2026-01-18,amer,support,28,54.38
2026-01-19,emea,hardware,9,50.17
2026-01-19,emea,hardware,31,867.72
2026-01-19,amer,hardware,33,451.62
2026-01-19,apac,software,21,72.7
2026-01-20,amer,training,38,277.28
2026-01-20,apac,software,22,386.97
2026-01-20,emea,support,1,639.98
2026-01-20,apac,hardware,37,166.72
2026-01-20,apac,training,39,582.06
2026-01-21,apac,hardware,40,790.1
2026-01-21,emea,services,32,678.72
2026-01-21,apac,training,27,415.27
2026-01-21,emea,software,35,247.31
2026-01-21,amer,hardware,28,207.12
2026-01-21,emea,hardware,21,339.01
2026-01-22,apac,hardware,30,617.53
2026-01-22,amer,support,25,597.29
2026-01-22,amer,services,37,477.9
2026-01-22,amer,hardware,31,135.87
2026-01-22,apac,hardware,34,90.33
2026-01-22,emea,training,12,731.02
2026-01-23,emea,hardware,8,602.55
2026-01-23,amer,services,38,273.11
2026-01-23,emea,hardware,37,459.72
2026-01-23,amer,software,7,497.7
2026-01-24,amer,hardware,36,295.0
2026-01-24,amer,software,5,222.69
2026-01-25,amer,software,30,551.87
2026-01-25,apac,services,24,537.32
2026-01-25,apac,support,27,860.34
2026-01-26,amer,software,27,752.29
2026-01-26,emea,training,37,675.26
2026-01-26,amer,support,31,147.01
2026-01-26,apac,software,11,93.91
2026-01-26,amer,training,34,846.58
2026-01-27,amer,software,9,244.91
2026-01-27,emea,software,38,463.5
2026-01-27,emea,support,19,600.65
2026-01-27,apac,support,38,524.28
2026-01-27,apac,software,20,29.86
2026-01-27,apac,training,13,161.16
2026-01-28,emea,services,31,691.19
2026-01-28,emea,training,31,627.16
2026-01-28,emea,training,38,744.38
2026-01-28,amer,support,2,433.28
2026-01-01,apac,hardware,30,811.54
2026-01-01,emea,hardware,14,761.34
2026-01-02,emea,services,9,174.32
2026-01-02,amer,hardware,17,158.93
2026-01-02,emea,services,12,382.21
2026-01-03,emea,hardware,17,743.77
2026-01-03,apac,hardware,23,407.8
2026-02-04,emea,hardware,22,301.36
2026-02-04,apac,training,5,194.49
2026-02-04,amer,training,26,119.94
2026-02-04,apac,hardware,18,76.63
2026-02-05,emea,training,34,809.66
2026-02-05,emea,support,24,606.86
2026-02-05,apac,training,19,593.18
2026-02-05,amer,services,7,673.56
2026-02-05,apac,support,35,472.36
2026-02-06,amer,services,4,641.78
2026-02-06,amer,support,12,578.16
2026-02-06,amer,software,12,335.97
2026-02-06,amer,training,8,104.78
2026-02-06,amer,software,22,577.4
2026-02-07,apac,support,20,579.61
2026-02-07,apac,training,20,698.24
2026-02-07,amer,hardware,7,639.79
2026-02-07,amer,support,37,660.75
2026-02-07,apac,hardware,18,247.98
2026-02-07,emea,software,3,430.99
2026-02-08,emea,support,23,780.16
2026-02-08,apac,training,35,721.96
2026-02-08,emea,services,32,755.18
2026-02-08,emea,software,18,529.1
2026-02-09,amer,hardware,12,624.24
2026-02-09,amer,training,26,727.77
2026-02-10,amer,support,10,766.31
2026-02-10,emea,support,34,159.48
2026-02-10,emea,software,17,334.93
2026-02-11,emea,training,27,845.38
2026-02-11,apac,services,36,807.38
2026-02-11,apac,training,34,614.08
2026-02-11,apac,training,2,539.0
2026-02-12,emea,software,32,161.92
2026-02-12,amer,training,13,179.82
2026-02-13,emea,hardware,33,824.89
2026-02-13,apac,hardware,37,258.9
2026-02-13,amer,software,9,420.91
2026-02-13,emea,support,4,31.97
2026-02-13,amer,software,33,78.03
2026-02-13,amer,hardware,22,294.0
2026-02-14,amer,software,6,765.23
2026-02-14,amer,hardware,6,660.82
2026-02-14,apac,software,5,768.02
2026-02-14,apac,software,32,287.57
2026-02-15,apac,hardware,13,630.99
2026-02-15,apac,training,31,625.21
2026-02-16,apac,software,32,277.74
2026-02-16,apac,training,26,395.49
2026-02-16,apac,hardware,17,332.58
2026-02-16,apac,training,34,327.83
2026-02-16,apac,software,1,717.59
2026-02-16,apac,services,10,762.68
2026-02-17,emea,software,14,29.07
2026-02-17,amer,training,33,157.67
2026-02-17,emea,software,8,545.44
2026-02-17,apac,training,12,62.08
2026-02-17,emea,training,29,289.37
2026-02-17,emea,hardware,16,364.61
2026-02-18,apac,hardware,15,222.2
2026-02-18,apac,training,13,154.57
2026-02-18,amer,hardware,23,813.12
2026-02-18,amer,hardware,19,251.72
2026-02-18,apac,services,32,229.6
2026-02-19,emea,services,23,288.66
2026-02-19,emea,training,6,530.98
2026-02-19,emea,hardware,2,608.97
2026-02-19,emea,software,33,41.73
2026-02-20,emea,support,22,186.21
2026-02-20,apac,services,31,817.25
2026-02-21,apac,services,39,565.54
2026-02-21,apac,hardware,19,171.61
2026-02-22,emea,support,25,491.37
2026-02-22,amer,training,12,746.89
2026-02-22,amer,training,36,325.81
2026-02-22,emea,services,27,395.55
2026-02-22,apac,training,23,246.76
2026-02-23,amer,support,25,845.5
2026-02-23,emea,software,11,635.27
2026-02-23,emea,training,6,677.32
2026-02-24,apac,software,39,752.34
2026-02-24,amer,hardware,40,777.52
2026-02-25,apac,services,24,10.97
2026-02-25,emea,training,7,307.52
2026-02-25,apac,hardware,29,80.72
2026-02-25,amer,software,16,615.45
2026-02-25,emea,software,38,877.07
2026-02-26,emea,services,14,203.28
2026-02-26,amer,support,27,454.1
2026-02-27,apac,support,13,421.12
2026-02-27,amer,hardware,3,736.36
2026-02-27,emea,support,2,765.75
2026-02-27,emea,software,17,85.02
2026-02-27,apac,training,15,736.32
2026-02-27,amer,support,7,574.61
2026-02-28,apac,support,29,694.36
2026-02-28,apac,support,29,726.93
2026-02-28,emea,hardware,35,16.15
2026-02-28,apac,hardware,22,314.28
2026-02-01,emea,support,24,381.82
2026-02-01,amer,hardware,39,466.21
2026-02-01,emea,services,4,304.65
2026-02-01,apac,training,6,230.45
2026-02-01,apac,software,14,649.06
2026-02-02,apac,support,27,333.33
2026-02-02,emea,support,27,435.83
2026-02-02,apac,training,38,819.83
2026-02-02,apac,hardware,12,795.28
2026-02-02,emea,software,19,452.85
2026-02-02,emea,training,3,181.03
2026-02-03,apac,training,28,42.63
2026-02-03,apac,software,19,135.37
2026-02-03,apac,services,27,400.31
2026-02-04,emea,training,19,869.22
2026-02-04,amer,services,11,389.25
2026-02-04,apac,training,34,888.75
2026-02-05,apac,services,19,35.4
2026-02-05,apac,services,20,667.68
2026-02-05,amer,hardware,1,125.27
2026-02-06,emea,support,2,155.42
2026-02-06,emea,hardware,14,875.63
2026-02-06,apac,services,24,871.72
2026-02-06,emea,training,12,219.71
2026-02-06,apac,training,22,745.19
2026-02-06,amer,support,7,405.74
2026-03-07,emea,training,27,646.01
2026-03-07,apac,hardware,2,387.73
2026-03-07,amer,software,37,227.31
2026-03-07,emea,training,33,670.38
2026-03-08,amer,software,18,24.13
2026-03-08,emea,hardware,32,575.74
2026-03-08,apac,training,34,595.46
2026-03-08,amer,support,27,336.21
2026-03-09,apac,software,5,611.58
2026-03-09,amer,hardware,27,691.16
2026-03-09,apac,training,18,716.49
2026-03-10,apac,support,10,517.74
2026-03-10,emea,support,3,372.16
2026-03-10,emea,training,38,548.77
2026-03-10,emea,services,37,535.8
2026-03-10,emea,training,9,255.91
2026-03-11,emea,training,5,336.43
2026-03-11,amer,training,29,181.27
2026-03-11,apac,software,25,838.51
2026-03-11,apac,services,4,248.02
2026-03-12,apac,services,40,355.13
2026-03-12,apac,hardware,9,376.99
2026-03-13,emea,training,15,851.95
2026-03-13,amer,hardware,34,110.88
2026-03-13,amer,hardware,1,839.04
2026-03-13,amer,hardware,28,245.14
2026-03-13,apac,training,18,264.32
2026-03-14,emea,software,16,437.94
2026-03-14,emea,software,10,806.79
2026-03-14,emea,training,26,579.12
2026-03-14,emea,training,4,168.25
2026-03-14,amer,software,20,176.44
2026-03-14,emea,software,4,470.92
2026-03-15,amer,software,25,695.22
2026-03-15,apac,training,12,879.01
2026-03-15,apac,hardware,9,110.84
2026-03-16,emea,training,23,835.31
2026-03-16,amer,hardware,13,16.04
2026-03-16,apac,software,31,226.06
2026-03-16,apac,support,32,100.9
2026-03-17,apac,hardware,23,476.94
2026-03-17,apac,support,27,418.11
2026-03-17,amer,services,29,140.79
2026-03-17,apac,training,13,675.69
2026-03-18,amer,software,20,857.82
2026-03-18,emea,services,18,749.07
2026-03-18,emea,hardware,39,870.96
2026-03-18,apac,support,12,110.38
2026-03-19,emea,hardware,26,882.57
2026-03-19,amer,services,34,623.22
2026-03-20,emea,training,35,520.98
2026-03-20,apac,software,38,538.14
2026-03-20,apac,training,33,505.82
2026-03-20,amer,services,38,325.11
2026-03-21,amer,services,22,262.02
2026-03-21,apac,services,12,117.96
2026-03-21,amer,software,22,651.25
2026-03-21,emea,services,28,860.88
2026-03-21,apac,software,31,304.05
2026-03-21,emea,support,34,468.36
2026-03-22,emea,hardware,27,384.13
2026-03-22,amer,services,4,217.63
2026-03-22,apac,training,14,873.51
2026-03-22,apac,support,14,58.23
2026-03-22,apac,hardware,28,654.23
2026-03-22,apac,support,24,19.96
2026-03-23,amer,services,26,396.26
2026-03-23,amer,hardware,38,445.44
2026-03-23,apac,software,1,336.1
2026-03-23,amer,hardware,9,788.91
2026-03-24,apac,training,19,182.83
2026-03-24,emea,support,21,480.01
2026-03-24,amer,services,14,398.15
2026-03-25,emea,support,25,207.49
2026-03-25,emea,services,19,496.18
2026-03-25,emea,software,39,786.58
2026-03-25,apac,hardware,23,346.56
2026-03-25,apac,software,31,250.91
2026-03-25,apac,software,33,569.31
2026-03-26,amer,services,28,262.14
2026-03-26,amer,hardware,5,398.4
2026-03-26,amer,services,5,757.85
2026-03-26,apac,training,28,565.41
2026-03-26,emea,services,27,785.72
2026-03-26,emea,services,13,580.44
2026-03-27,emea,support,2,804.49
2026-03-27,amer,support,16,514.82
2026-03-28,emea,software,31,735.31
2026-03-28,amer,training,19,312.27
2026-03-01,amer,support,15,187.69
2026-03-01,apac,services,38,126.51
2026-03-01,amer,services,40,465.66
2026-03-01,apac,support,34,188.75
2026-03-01,emea,training,20,563.89
2026-03-02,emea,software,7,835.09
2026-03-02,emea,support,26,751.08
2026-03-02,apac,software,3,297.4
2026-03-02,emea,training,4,217.98
2026-03-02,apac,training,15,165.91
2026-03-03,apac,services,4,620.68
2026-03-03,apac,hardware,14,203.58
2026-03-03,apac,software,37,157.69
2026-03-03,apac,software,14,723.41
2026-03-04,amer,software,12,611.74
2026-03-04,amer,training,39,484.56
2026-03-04,amer,software,20,398.98
2026-03-04,emea,hardware,35,766.41
2026-03-05,emea,support,12,245.89
2026-03-05,apac,training,15,352.15
2026-03-05,amer,training,23,367.12
2026-03-05,amer,training,12,110.59
2026-03-05,apac,services,10,523.22
2026-03-06,apac,support,10,758.66
2026-03-06,apac,support,10,769.49
2026-03-07,apac,training,3,522.66
2026-03-07,amer,software,40,91.88
2026-03-07,amer,support,20,523.84
2026-03-07,amer,services,35,294.29
2026-03-07,apac,services,1,381.92
2026-03-08,amer,services,28,431.05
2026-03-08,amer,software,16,269.56
2026-03-08,emea,support,25,637.35
2026-03-08,apac,support,11,290.98
2026-03-08,amer,training,12,486.0
2026-03-08,apac,software,27,496.25
2026-03-09,emea,hardware,39,434.14
2026-03-09,emea,software,33,595.49
2026-03-09,emea,hardware,36,482.78
2026-03-09,apac,support,33,287.36
2026-04-10,emea,training,18,611.9
2026-04-10,emea,services,8,195.94
2026-04-10,emea,training,24,391.68
2026-04-10,apac,services,12,242.56
2026-04-11,emea,software,16,877.16
2026-04-11,apac,services,7,96.28
2026-04-11,amer,software,6,207.94
2026-04-11,apac,services,8,297.22
2026-04-11,emea,software,3,596.95
2026-04-11,apac,support,9,337.38
2026-04-12,amer,training,33,507.64
2026-04-12,amer,training,28,236.19
2026-04-12,amer,services,38,802.83
2026-04-12,emea,hardware,3,159.15
2026-04-12,amer,hardware,14,705.89
2026-04-13,amer,software,24,235.83
2026-04-13,amer,support,37,666.06
2026-04-13,apac,software,8,149.02
2026-04-14,apac,training,19,141.07
2026-04-14,amer,services,39,652.94
2026-04-15,emea,hardware,40,79.87
2026-04-15,amer,software,7,15.75
2026-04-15,emea,support,26,632.92
2026-04-15,amer,support,29,241.35
2026-04-16,emea,services,27,159.92
2026-04-16,emea,services,34,649.05
2026-04-17,emea,hardware,14,351.56
2026-04-17,amer,training,21,561.79
2026-04-17,apac,training,16,714.08
2026-04-17,apac,software,15,148.37
2026-04-18,emea,training,21,873.43
2026-04-18,emea,support,39,224.13
2026-04-18,emea,hardware,26,32.83
2026-04-18,apac,software,13,409.35
2026-04-18,amer,services,39,345.23
2026-04-19,amer,support,28,570.22
2026-04-19,emea,software,29,449.84
2026-04-19,emea,services,38,835.98
2026-04-20,apac,support,9,281.13
2026-04-20,amer,software,15,331.98
2026-04-20,apac,hardware,5,449.3
2026-04-21,emea,training,2,19.7
2026-04-21,apac,support,1,60.74
2026-04-21,amer,training,1,51.7
2026-04-21,amer,services,20,728.64
2026-04-21,apac,services,20,715.47
2026-04-22,amer,support,6,366.78
2026-04-22,amer,hardware,8,858.37
2026-04-22,emea,software,6,149.09
2026-04-22,apac,support,33,131.8
